,name,distance_meters,category,rating,lat,long,origin
0,Asia Pavillon,125.80419798514188,Pan Asian,3.0,52.5105613786962,13.3807723224163,"52.509809,13.379384"
0,Bageterie Boulevard,24.66324212203734,Baguettes,2.0,52.5099377441518,13.3796807562364,"52.509809,13.379384"
0,Ormado Kaffeehaus,124.14398047927392,Coffee & Tea,2.0,52.5105004468858,13.380824254245,"52.509809,13.379384"
0,Cassambalis,105.67459874738998,Greek,4.0,52.50351,13.32409,"52.502861,13.325082"
0,Maredo,87.32834666289097,Steakhouses,3.5,52.502737,13.323808,"52.502861,13.325082"
0,Schildkröte,99.4118340601409,German,3.5,52.50209,13.32549,"52.502861,13.325082"
0,NIER,81.01732217727515,Breakfast & Brunch,5.0,52.50353,13.32461,"52.502861,13.325082"
0,King's Pub,67.5267187443295,Pubs,4.0,52.5023,13.3247,"52.502861,13.325082"
0,Fasanen 37 Galerie und Bar,107.67950808106636,Bars,4.0,52.5033,13.3265,"52.502861,13.325082"
0,Hofbäckerei,78.55547682576739,Bakeries,2.0,52.5021750674674,13.3253597813679,"52.502861,13.325082"
0,asymmetrische vase,78.777910369858,Landmarks & Historical Buildings,4.0,52.5026,13.324,"52.502861,13.325082"
0,Brasserie Le Paris,85.65154136055041,Brasseries,4.0,52.502142,13.324628,"52.502861,13.325082"
0,PastaPerfect Deutschland,99.4118340601409,Fast Food,4.0,52.50209,13.32549,"52.502861,13.325082"
0,Mazzini Snack Pasta Vino,99.4118340601409,Italian,2.0,52.502035,13.325479,"52.502861,13.325082"
0,Cafe California & Bar,78.777910369858,International,1.0,52.5026,13.324,"52.502861,13.325082"
0,Cantinetta Trattoria & Pizzaria,54.79478717795662,Italian,4.5,52.50904,13.30697,"52.508826,13.306448"
0,Café Extrablatt,76.46436217188112,Bars,3.5,52.5092882403227,13.3056114924704,"52.508826,13.306448"
0,Katsudo Sushi,45.09525629217903,Sushi Bars,3.5,52.50904,13.30704,"52.508826,13.306448"
0,Fatih Servet,54.19406873996154,Kebab,4.5,52.509,13.3057,"52.508826,13.306448"
0,Hofpfisterei,32.12555832899671,Bakeries,4.0,52.5090038058449,13.3068221434951,"52.508826,13.306448"
0,Café Lisboa,96.13758658503698,Cafes,3.5,52.50903,13.30765,"52.508826,13.306448"
0,Green Papaya,106.49606391312949,Food Stands,3.5,52.50805,13.3053899,"52.508826,13.306448"
0,Homera,106.49606391312949,Cafes,5.0,52.50805,13.3053899,"52.508826,13.306448"
0,Heisser Wolf,80.08194956891965,Fast Food,3.5,52.5086848512636,13.3052876625688,"52.508826,13.306448"
0,Asia,101.16811966215433,Chinese,4.5,52.5086,13.305,"52.508826,13.306448"
0,Restaurant Le Buffet,39.3011846050501,Restaurants,4.0,52.50817,13.30646,"52.508826,13.306448"
0,Lodos Fischrestaurant,128.18067912261722,Seafood,2.0,52.508004,13.307903,"52.508826,13.306448"
0,Back-Factory,34.91863713709296,Bakeries,1.0,52.5091095,13.30618,"52.508826,13.306448"
0,Curry 126,101.80390713490154,Curry Sausage,2.0,52.5097,13.306,"52.508826,13.306448"
0,Las Olas,44.08675120931438,Spanish,4.0,52.524205127477,13.41151343227,"52.523849,13.411227"
0,Escados,58.1626830729151,Steakhouses,3.0,52.524266,13.411746,"52.523849,13.411227"
0,Type Hype,123.66371946188173,Concept Shops,4.5,52.52429,13.40963,"52.523849,13.411227"
0,L'Osteria,72.25495660269317,Pizza,3.0,52.5237043580748,13.4101857951097,"52.523849,13.411227"
0,Reptilienausstellung Welt Der Reptilien,51.28003473570281,Pets,4.0,52.5234,13.4114,"52.523849,13.411227"
0,Braufactum,40.56492473090068,Beer Bar,2.5,52.5235497914048,13.4108839700116,"52.523849,13.411227"
0,Döner Inn,121.65803530415283,Kebab,2.5,52.5225601,13.4128199,"52.523849,13.411227"
0,Brunnen der Völkerfreundschaft,103.42994858676133,Landmarks & Historical Buildings,4.0,52.5236,13.4127,"52.523849,13.411227"
0,Wiener Feinbäckerei Heberer,94.53348822572778,Bakeries,3.5,52.523,13.4113,"52.523849,13.411227"
0,Affengeil,51.28003473570281,Sandwiches,5.0,52.5234,13.4114,"52.523849,13.411227"
0,Sillipatti creperie,51.28003473570281,Cafes,5.0,52.5234,13.4114,"52.523849,13.411227"
0,Wiener Feinbäckerei Heberer,51.28003473570281,Bakeries,4.0,52.5234,13.4114,"52.523849,13.411227"
0,Spektewiesen,51.28003473570281,Dog Parks,4.0,52.5234,13.4114,"52.523849,13.411227"
0,Prenzlauerberg,42.9780494281481,Landmarks & Historical Buildings,3.0,52.5235,13.4115,"52.523849,13.411227"
0,Konrad Imbis,51.28003473570281,Restaurants,3.0,52.5234,13.4114,"52.523849,13.411227"
0,Travelsnack,51.28003473570281,Middle Eastern,3.0,52.5234,13.4114,"52.523849,13.411227"
0,Ristorante Roma,51.28003473570281,Food Delivery Services,4.0,52.5234,13.4114,"52.523849,13.411227"
0,Bagel,51.28003473570281,Sandwiches,4.0,52.5234,13.4114,"52.523849,13.411227"
0,Mama Van,127.84002878319073,Vietnamese,5.0,52.5229799,13.40999,"52.523849,13.411227"
0,Samui,51.28003473570281,Pan Asian,1.0,52.5234,13.4114,"52.523849,13.411227"
0,Yücel Kebap,103.0952728297334,Fast Food,4.5,52.4742919,13.440077,"52.473502,13.440874"
0,Imbiß Ammo Baba,63.56269459196337,Arabic,5.0,52.47399,13.44142,"52.473502,13.440874"
0,Pizza Almondo,94.36277272523215,Food Delivery Services,3.0,52.4743,13.4404,"52.473502,13.440874"
0,Ristorante Amarone,77.3685392052398,Italian,4.0,52.47395,13.44,"52.473502,13.440874"
0,Bierbaum 1,94.85151769733407,Dive Bars,5.0,52.47354,13.439429,"52.473502,13.440874"
0,City Chicken,36.67969836206321,Fast Food,4.0,52.4848959,13.4341985,"52.484653,13.433832"
0,Azzam,85.24295200519225,Middle Eastern,4.5,52.485003,13.432712,"52.484653,13.433832"
0,Das Gift,120.80226639800297,Pubs,4.5,52.4840083,13.4323961,"52.484653,13.433832"
0,Nudelbude - Pastamanufaktur,85.0288035037364,Italian,3.5,52.48431,13.43279,"52.484653,13.433832"
0,Broschek,80.6687323903539,Tapas/Small Plates,4.5,52.484164,13.432952,"52.484653,13.433832"
0,Peppi Guggenheim,68.35246012206204,Bars,5.0,52.48422,13.43316,"52.484653,13.433832"
0,jaja,68.35246012206204,Wine Bars,4.0,52.48422,13.43316,"52.484653,13.433832"
0,Astra Stube,65.36312561981727,Pubs,4.0,52.4845,13.4329,"52.484653,13.433832"
0,Yasmin Alsham,44.04797659471873,Oriental,4.0,52.484694,13.433185,"52.484653,13.433832"
0,Leckerback,88.13286939026196,Bakeries,3.5,52.4842,13.4349,"52.484653,13.433832"
0,Loislane,111.0112032001118,Cafes,4.5,52.46843,13.42946,"52.467995,13.430847"
0,Zum Umsteiger,25.79334145899213,Pubs,4.0,52.4681628,13.4311099,"52.467995,13.430847"
0,Cam's,89.81215475627768,Cafes,4.0,52.4687,13.4302,"52.467995,13.430847"
0,Heybe,92.47796832570978,Turkish,5.0,52.4685,13.43191,"52.467995,13.430847"
0,Knusperbäcker,20.402723345798012,Bakeries,3.5,52.4681,13.4306,"52.467995,13.430847"
0,Fior di Mocca,109.86394861261476,Ice Cream & Frozen Yogurt,3.5,52.467211,13.431834,"52.467995,13.430847"
0,Ruine Café Bar,96.94837866085845,Bars,5.0,52.4687216142689,13.4316379981476,"52.467995,13.430847"
0,King Box,28.51893244119978,Chinese,2.5,52.4682,13.4311,"52.467995,13.430847"
0,Back Saray,12.101767518280653,Bakeries,5.0,52.4681,13.4308,"52.467995,13.430847"
0,Bistro Legende,35.5159697444764,Burgers,2.0,52.4680014173097,13.4313711896539,"52.467995,13.430847"
0,Thai Cocos,119.45368303385045,Thai,3.0,52.4672,13.432033,"52.467995,13.430847"
0,Thoben,124.08331782271554,Bakeries,3.0,52.467128,13.4320002,"52.467995,13.430847"
0,21 gramm,88.0022864962638,Breakfast & Brunch,4.0,52.471998,13.429083,"52.472737,13.428618"
0,Döner am U-Bahnhof Leinestr.,19.36533273023839,Kebab,3.0,52.472678,13.428349,"52.472737,13.428618"
0,Haci Baba Kebabhaus,61.412809811409346,Kebab,4.5,52.4694035828537,13.4413567185402,"52.469951,13.441477"
